date,merchant_clean,amount,category,source,month,cumulative_category_spend,monthly_spend_category,budget,budget_utilization,monthly_total_spend,other_ratio,rolling_mean,rolling_std,z_score,spike_anomaly,budget_anomaly,other_anomaly,any_anomaly
2023-09-18,HM DEVONSHIRE MALL WINDSOR,-4.23,Shopping,historical,September 2023,-4.23,-24.03,0,24.03,-190.92,0.06,-4.23,0.0,0.0,False,True,False,True
2023-09-18,DOLLARAMA WINDSOR,-12.45,Shopping,historical,September 2023,-16.68,-24.03,0,24.03,-190.92,0.06,-8.34,5.81,-0.71,False,True,False,True
2023-09-27,DOLLARAMA WINDSOR,-7.35,Shopping,historical,September 2023,-24.03,-24.03,0,24.03,-190.92,0.06,-8.01,4.15,0.16,False,True,False,True
2023-10-03,MCDONALDS WINDSOR,-2.09,Food,historical,October 2023,-2.09,-138.1,120,1.15,-454.56,0.06,-3.32,1.97,0.62,False,True,False,True
2023-10-03,UBER CANADAUBERTRIP TORONTO,-10.9,Food,historical,October 2023,-12.99,-138.1,120,1.15,-454.56,0.06,-4.2,3.84,-1.74,False,True,False,True
2023-10-03,CAW MARKET WINDSOR,-3.23,Grocery,historical,October 2023,-3.23,-236.09,110,2.15,-454.56,0.06,-2.67,0.6,-0.93,False,True,False,True
2023-10-03,UBER CANADAUBERTRIP TORONTO,-1.83,Food,historical,October 2023,-14.82,-138.1,120,1.15,-454.56,0.06,-4.09,3.92,0.58,False,True,False,True
2023-10-03,UBER CANADAUBERTRIP TORONTO,-10.83,Food,historical,October 2023,-25.65,-138.1,120,1.15,-454.56,0.06,-5.46,4.93,-1.09,False,True,False,True
2023-10-03,GIGLIOS MARKET WINDSOR,-6.5,Food,historical,October 2023,-32.15,-138.1,120,1.15,-454.56,0.06,-6.43,4.45,-0.02,False,True,False,True
2023-10-03,DOLLARAMA WINDSOR,-21.89,Shopping,historical,October 2023,-21.89,-60.06,0,60.06,-454.56,0.06,-11.48,7.72,-1.35,False,True,False,True
2023-10-03,IC INSTACART HALIFAX MIDH,-119.83,Grocery,historical,October 2023,-123.06,-236.09,110,2.15,-454.56,0.06,-25.97,52.47,-1.79,False,True,False,True
2023-10-03,FREEDOM MOBILE,-44.07,Utility,historical,October 2023,-44.07,-44.07,39,1.13,-454.56,0.06,-44.07,0.0,0.0,False,True,False,True
2023-10-04,MCDONALDS WINDSOR,-7.44,Food,historical,October 2023,-39.59,-138.1,120,1.15,-454.56,0.06,-7.5,3.74,0.02,False,True,False,True
2023-10-04,CAW MARKET WINDSOR,-2.4,Grocery,historical,October 2023,-125.46,-236.09,110,2.15,-454.56,0.06,-26.03,52.44,0.45,False,True,False,True
2023-10-06,WALMART SUPERCENTER WINDSOR,-14.2,Grocery,historical,October 2023,-139.66,-236.09,110,2.15,-454.56,0.06,-28.45,51.32,0.28,False,True,False,True
2023-10-06,PIZZA PIZZA WINDSOR,-14.93,Food,historical,October 2023,-54.52,-138.1,120,1.15,-454.56,0.06,-8.31,4.9,-1.35,False,True,False,True
2023-10-06,WALMARTCA MISSISSAUGA,-25.6,Grocery,historical,October 2023,-165.26,-236.09,110,2.15,-454.56,0.06,-33.05,49.42,0.15,False,True,False,True
2023-10-10,PIZZA PIZZA WINDSOR,-10.16,Food,historical,October 2023,-64.68,-138.1,120,1.15,-454.56,0.06,-9.97,3.31,-0.06,False,True,False,True
2023-10-10,WALMARTCA MISSISSAUGA,-11.05,Grocery,historical,October 2023,-176.31,-236.09,110,2.15,-454.56,0.06,-34.62,48.35,0.49,False,True,False,True
2023-10-10,WALMARTCA MISSISSAUGA,-13.99,Grocery,historical,October 2023,-190.3,-236.09,110,2.15,-454.56,0.06,-13.45,8.31,-0.06,False,True,False,True
2023-10-17,CEI ENGINEERING WINDSOR,-1.67,Food,historical,October 2023,-66.35,-138.1,120,1.15,-454.56,0.06,-8.14,4.88,1.33,False,True,False,True
2023-10-18,GIGLIOS MARKET WINDSOR,-3.5,Food,historical,October 2023,-69.85,-138.1,120,1.15,-454.56,0.06,-7.54,5.3,0.76,False,True,False,True
2023-10-20,AMAZONCATDKCNX AMAZONCA,-6.76,Shopping,historical,October 2023,-28.65,-60.06,0,60.06,-454.56,0.06,-10.54,7.01,0.54,False,True,False,True
2023-10-20,AMZN MKTP CATDNZF WWWAMAZONCA,-27.45,Shopping,historical,October 2023,-56.1,-60.06,0,60.06,-454.56,0.06,-15.18,9.15,-1.34,False,True,False,True
2023-10-23,LCBORAO WINDSOR,-31.45,Food,historical,October 2023,-101.3,-138.1,120,1.15,-454.56,0.06,-12.34,11.92,-1.6,False,True,False,True
2023-10-23,DOLLARAMA WINDSOR,-3.96,Shopping,historical,October 2023,-60.06,-60.06,0,60.06,-454.56,0.06,-13.48,10.48,0.91,False,True,False,True
2023-10-24,PIZZA PIZZA WINDSOR,-26.54,Food,historical,October 2023,-127.84,-138.1,120,1.15,-454.56,0.06,-14.66,13.57,-0.88,False,True,False,True
